Dataset,Model,Mean_Accuracy,Std_Accuracy,Mean_Sensitivity,Std_Sensitivity,Mean_Specificity,Std_Specificity,Mean_AUC,Std_AUC
Left,RandomForest,0.640606061,0.06625755,0.752222222,0.110914401,0.49047619,0.080008503,0.676861598,0.052055547
Left,SVM_Linear,0.636363636,0.082988266,0.826374269,0.072350312,0.402857143,0.090451124,0.61721526,0.111118168
Left,SVM_RBF,0.672121212,0.065695404,0.892397661,0.108274029,0.452380952,0.244151546,0.651119465,0.050959655
Right,RandomForest,0.690909091,0.037103854,0.829766082,0.068432416,0.523809524,0.128725738,0.756354776,0.076126365
Right,SVM_Linear,0.666969697,0.054282435,0.784906433,0.097777758,0.539238095,0.11065035,0.754023949,0.073834674
Right,SVM_RBF,0.719090909,0.050706668,0.757461988,0.066932884,0.652380952,0.134265449,0.775728209,0.056442412
Combined,RandomForest,0.729393939,0.030655781,0.816374269,0.083305115,0.618095238,0.063887656,0.850100251,0.069768403
Combined,SVM_Linear,0.749393939,0.045956821,0.750935673,0.073612236,0.745238095,0.107623262,0.824500139,0.056328728
Combined,SVM_RBF,0.781515152,0.046946657,0.783625731,0.088977334,0.718571429,0.110938668,0.852793094,0.040356501
